local_enterprise_partnership_code,local_enterprise_partnership_name,starts,achievements,achievement_rate,dropoff_rate
E37000001,Black Country,7650,4430,0.5790849673202615,0.4209150326797385
E37000003,Cheshire and Warrington,6220,3580,0.5755627009646302,0.42443729903536975
E37000005,Cornwall and Isles of Scilly,3580,2100,0.5865921787709497,0.4134078212290503
E37000006,Coventry and Warwickshire,6100,3540,0.580327868852459,0.419672131147541
E37000007,Cumbria,4310,2380,0.5522041763341067,0.4477958236658933
E37000009,Dorset,5690,3000,0.5272407732864675,0.47275922671353254
E37000011,Gloucestershire,4270,2210,0.5175644028103045,0.48243559718969553
E37000012,Greater Birmingham and Solihull,12570,7090,0.5640413683373111,0.4359586316626889
E37000015,Greater Manchester,18900,10720,0.5671957671957671,0.43280423280423286
E37000016,Heart of the South West,12710,7150,0.5625491738788355,0.4374508261211645
E37000019,Lancashire,11090,6330,0.5707844905320109,0.42921550946798914
E37000021,Leicester and Leicestershire,6630,3730,0.5625942684766214,0.4374057315233786
E37000022,Liverpool City Region,10060,5480,0.5447316103379721,0.4552683896620279
E37000025,North East,13750,8260,0.6007272727272728,0.3992727272727272
E37000032,Stoke-on-Trent and Staffordshire,8390,4780,0.5697258641239571,0.4302741358760429
E37000033,Swindon and Wiltshire,6010,3040,0.5058236272878536,0.49417637271214643
E37000034,Tees Valley,4820,2910,0.6037344398340249,0.39626556016597514
E37000035,Thames Valley Berkshire,5480,2920,0.5328467153284672,0.46715328467153283
E37000036,The Marches,5310,3380,0.6365348399246704,0.3634651600753296
E37000037,West of England,7530,4130,0.548472775564409,0.451527224435591
E37000038,Worcestershire,3790,2150,0.5672823218997362,0.43271767810026385
E37000043,Buckinghamshire Thames Valley,2990,1650,0.5518394648829431,0.4481605351170569
E37000044,Coast to Capital,7920,4380,0.553030303030303,0.446969696969697
E37000045,"Derby, Derbyshire, Nottingham and Nottinghamshire",14450,8630,0.5972318339100346,0.40276816608996535
E37000046,Enterprise M3,9300,4900,0.5268817204301075,0.4731182795698925
E37000048,Hertfordshire,6580,3510,0.5334346504559271,0.4665653495440729
E37000051,London,40380,20820,0.5156017830609212,0.4843982169390788
E37000052,New Anglia,9740,5820,0.5975359342915811,0.40246406570841886
E37000053,Oxfordshire,4120,2310,0.5606796116504854,0.4393203883495146
E37000054,Sheffield City Region,8860,5030,0.5677200902934537,0.4322799097065463
E37000055,Solent,9310,5810,0.6240601503759399,0.37593984962406013
E37000056,South East,25580,14040,0.5488663017982799,0.4511336982017201
E37000057,South East Midlands,11140,6040,0.5421903052064632,0.45780969479353684
E37000058,"York, North Yorkshire and East Riding",6620,4070,0.6148036253776435,0.38519637462235645
E37000059,Greater Cambridge and Greater Peterborough,5030,2630,0.5228628230616302,0.47713717693836977
E37000060,Greater Lincolnshire,7080,4130,0.5833333333333334,0.41666666666666663
E37000061,Hull and East Yorkshire,4910,2920,0.594704684317719,0.40529531568228105
E37000062,Leeds City Region,15930,9230,0.5794099183929693,0.4205900816070307
